SurgeryProcedureMainGroupId,SurgeryProcedureSubGroupId,SurgeryProcedureId,Code,SurgeryProcedure,SurgeryProcedureSeverity,MainGroup,SubGroup,Specialty
1,1,1,1-1-1-Com,"Anterior correction of degenerative adult kyphosis with instrumentation, +/- fusion (including spinal cord monitoring)",Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,2,1-1-2-Com,"Anterior correction of idiopathic juvenile kyphosis with instrumentation, +/- fusion (including spinal cord monitoring)",Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,3,1-1-3-Com,"Anterior correction of idiopathic juvenile scoliosis with instrumentation, +/- fusion (including spinal cord monitoring)",Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,4,1-1-4-Xma,Anterior discectomy (cervical region),Xma,Spine,Spinal column (including intervertebral discs),Spine
1,1,5,1-1-5-Com,"Anterior discectomy, decompression and fusion (including bone grafting/multiple levels) (cervical region)",Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,6,1-1-6-Com,Anterior vertebrectomy with decompression and implant,Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,7,1-1-7-Int,Application of halo (as sole procedure),Int,Spine,Spinal column (including intervertebral discs),Spine
1,1,8,1-1-8-Xma,Balloon kyphoplasty - greater than two levels,Xma,Spine,Spinal column (including intervertebral discs),Spine
1,1,9,1-1-9-Maj,Balloon kyphoplasty - single level,Maj,Spine,Spinal column (including intervertebral discs),Spine
1,1,10,1-1-10-Xma,Balloon kyphoplasty - two level,Xma,Spine,Spinal column (including intervertebral discs),Spine
1,1,11,1-1-11-Int,Chemonucleosis (multiple levels),Int,Spine,Spinal column (including intervertebral discs),Spine
1,1,12,1-1-12-Int,Coccygectomy (multiple levels),Int,Spine,Spinal column (including intervertebral discs),Spine
1,1,13,1-1-13-Com,"Combined anterior and posterior correction and instrumentation, +/- fusion of idiopathic juvenile scoliosis (including spinal monitoring)",Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,14,1-1-14-Com,Combined anterior and posterior fusion of cervical spine,Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,15,1-1-15-Com,"Combined anterior approach discectomy, decompression and fusion and posterior fusion (lumbar region)",Com,Spine,Spinal column (including intervertebral discs),Spine
1,1,16,1-1-16-Com,Combined anterior discectomy and posterior fusion (thoracic region),Com,Spine,Spinal column (including intervertebral discs),Spine
